month,from,to,status,seconds,bytes,file
xauusd_ask_m1_2010_03,2010-03-01,2010-04-01,ok,157.99,2205978,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_03.csv"
xauusd_ask_m1_2010_04,2010-04-01,2010-05-01,ok,9.91,2126746,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_04.csv"
xauusd_ask_m1_2010_05,2010-05-01,2010-06-01,ok,12.23,2205432,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_05.csv"
xauusd_ask_m1_2010_06,2010-06-01,2010-07-01,ok,10.54,2140249,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_06.csv"
xauusd_ask_m1_2010_07,2010-07-01,2010-08-01,ok,11.42,2206351,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_07.csv"
xauusd_ask_m1_2010_08,2010-08-01,2010-09-01,ok,11.96,2217551,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_08.csv"
xauusd_ask_m1_2010_09,2010-09-01,2010-10-01,ok,11.79,2145791,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_09.csv"
xauusd_ask_m1_2010_10,2010-10-01,2010-11-01,ok,11.3,2218488,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_10.csv"
xauusd_ask_m1_2010_11,2010-11-01,2010-12-01,ok,10.27,2145046,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_11.csv"
xauusd_ask_m1_2010_12,2010-12-01,2011-01-01,ok,13.86,2178097,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2010_12.csv"
xauusd_ask_m1_2011_01,2011-01-01,2011-02-01,ok,11.69,2182050,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_01.csv"
xauusd_ask_m1_2011_02,2011-02-01,2011-03-01,ok,9.92,1995775,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_02.csv"
xauusd_ask_m1_2011_03,2011-03-01,2011-04-01,ok,11.83,2189038,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_03.csv"
xauusd_ask_m1_2011_04,2011-04-01,2011-05-01,ok,10.1,2122526,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_04.csv"
xauusd_ask_m1_2011_05,2011-05-01,2011-06-01,ok,11.9,2198067,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_05.csv"
xauusd_ask_m1_2011_06,2011-06-01,2011-07-01,ok,11.01,2146124,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_06.csv"
xauusd_ask_m1_2011_07,2011-07-01,2011-08-01,ok,12.05,2217795,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_07.csv"
xauusd_ask_m1_2011_08,2011-08-01,2011-09-01,ok,12.07,2215495,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_08.csv"
xauusd_ask_m1_2011_09,2011-09-01,2011-10-01,ok,10.32,2144872,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_09.csv"
xauusd_ask_m1_2011_10,2011-10-01,2011-11-01,ok,11.9,2217911,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\ask\m1\xauusd_ask_m1_2011_10.csv"
