month,from,to,status,seconds,bytes,lines,expected_lines,file
xauusd_bid_m1_2010_01,2010-01-01,2010-02-01,ok,28.02,0,0,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_01.csv"
xauusd_bid_m1_2010_02,2010-02-01,2010-03-01,ok,17.74,0,0,40321,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_02.csv"
xauusd_bid_m1_2010_03,2010-03-01,2010-04-01,ok,96.14,1424911,28801,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_03.csv"
xauusd_bid_m1_2010_04,2010-04-01,2010-05-01,ok,10.35,2126923,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_04.csv"
xauusd_bid_m1_2010_05,2010-05-01,2010-06-01,ok,11.96,2212378,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_05.csv"
xauusd_bid_m1_2010_06,2010-06-01,2010-07-01,ok,11.11,2140337,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_06.csv"
xauusd_bid_m1_2010_07,2010-07-01,2010-08-01,ok,11.83,2205658,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_07.csv"
xauusd_bid_m1_2010_08,2010-08-01,2010-09-01,ok,12,2217476,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_08.csv"
xauusd_bid_m1_2010_09,2010-09-01,2010-10-01,ok,10.11,2146063,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_09.csv"
xauusd_bid_m1_2010_10,2010-10-01,2010-11-01,ok,12.17,2217748,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_10.csv"
xauusd_bid_m1_2010_11,2010-11-01,2010-12-01,ok,10.35,2145603,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_11.csv"
xauusd_bid_m1_2010_12,2010-12-01,2011-01-01,ok,11.96,2178340,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2010_12.csv"
xauusd_bid_m1_2011_01,2011-01-01,2011-02-01,ok,11.87,2179235,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_01.csv"
xauusd_bid_m1_2011_02,2011-02-01,2011-03-01,ok,9.9,1997631,40321,40321,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_02.csv"
xauusd_bid_m1_2011_03,2011-03-01,2011-04-01,ok,11.8,2174455,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_03.csv"
xauusd_bid_m1_2011_04,2011-04-01,2011-05-01,ok,10.35,2123307,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_04.csv"
xauusd_bid_m1_2011_05,2011-05-01,2011-06-01,ok,11.98,2195474,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_05.csv"
xauusd_bid_m1_2011_06,2011-06-01,2011-07-01,ok,10.6,2145798,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_06.csv"
xauusd_bid_m1_2011_07,2011-07-01,2011-08-01,ok,11.7,2218209,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_07.csv"
xauusd_bid_m1_2011_08,2011-08-01,2011-09-01,ok,12.22,2216705,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_08.csv"
xauusd_bid_m1_2011_09,2011-09-01,2011-10-01,ok,10.4,2146195,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_09.csv"
xauusd_bid_m1_2011_10,2011-10-01,2011-11-01,ok,12.01,2218613,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_10.csv"
xauusd_bid_m1_2011_11,2011-11-01,2011-12-01,ok,10.55,2123013,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_11.csv"
xauusd_bid_m1_2011_12,2011-12-01,2012-01-01,ok,11.46,2214726,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2011_12.csv"
xauusd_bid_m1_2012_01,2012-01-01,2012-02-01,ok,11.86,2160565,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_01.csv"
xauusd_bid_m1_2012_02,2012-02-01,2012-03-01,ok,10.17,2023112,41761,41761,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_02.csv"
xauusd_bid_m1_2012_03,2012-03-01,2012-04-01,ok,11.9,2163060,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_03.csv"
xauusd_bid_m1_2012_04,2012-04-01,2012-05-01,ok,10.35,2095240,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_04.csv"
xauusd_bid_m1_2012_05,2012-05-01,2012-06-01,ok,11.68,2152353,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_05.csv"
xauusd_bid_m1_2012_06,2012-06-01,2012-07-01,ok,9.95,2090191,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_06.csv"
xauusd_bid_m1_2012_07,2012-07-01,2012-08-01,ok,12.21,2161387,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_07.csv"
xauusd_bid_m1_2012_08,2012-08-01,2012-09-01,ok,11.85,2168317,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_08.csv"
xauusd_bid_m1_2012_09,2012-09-01,2012-10-01,ok,10.53,2080631,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_09.csv"
xauusd_bid_m1_2012_10,2012-10-01,2012-11-01,ok,11.8,2170901,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_10.csv"
xauusd_bid_m1_2012_11,2012-11-01,2012-12-01,ok,9.69,2101469,43201,43201,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_11.csv"
xauusd_bid_m1_2012_12,2012-12-01,2013-01-01,ok,11.02,2177472,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2012_12.csv"
xauusd_bid_m1_2013_01,2013-01-01,2013-02-01,ok,11.34,2189531,44641,44641,"F:\code\AutoRunForex\History_Data\dukascopy\xauusd\bid\m1\xauusd_bid_m1_2013_01.csv"
